Ranking,song,artist,is_in_features,spotify_id,popularity,duration_ms,album,release_date,spotify_uri
1,Luther,Kendrick Lamar & SZA,True,2CGNAOSuO1MEFCbBRgUzjd,930,1775980,GNX,2024-11-21,spotify:track:2CGNAOSuO1MEFCbBRgUzjd
2,Die With A Smile,Lady Gaga & Bruno Mars,False,2plbrEY59IikOBgBGLjaoe,1000,2516670,Die With A Smile,2024-08-16,spotify:track:2plbrEY59IikOBgBGLjaoe
3,Not Like Us,Kendrick Lamar,True,6AI3ezQ4o3HUoP6Dhudph3,960,2741920,Not Like Us,2024-05-04,spotify:track:6AI3ezQ4o3HUoP6Dhudph3
4,TV Off,Kendrick Lamar Featuring Lefty Gunplay,False,0aB0v4027ukVziUGwVGYpG,940,2206900,GNX,2024-11-22 00:00:00,spotify:track:0aB0v4027ukVziUGwVGYpG
5,A Bar Song (Tipsy),Shaboozey,False,2FQrifJ1N335Ljm3TjTVVf,850,1712910,A Bar Song (Tipsy),2024-04-12,spotify:track:2FQrifJ1N335Ljm3TjTVVf
6,APT.,ROSE & Bruno Mars,False,5vNRhkKd0yEAg8suGBpjeY,940,1699170,APT.,2024-10-18,spotify:track:5vNRhkKd0yEAg8suGBpjeY
7,Birds Of A Feather,Billie Eilish,True,6dOtVTDdiauQNBQEDOtlAB,970,2103730,HIT ME HARD AND SOFT,2024-05-17,spotify:track:6dOtVTDdiauQNBQEDOtlAB
8,Pink Pony Club,Chappell Roan,False,1k2pQc5i348DCHwbn5KTdc,860,2580340,The Rise and Fall of a Midwest Princess,2023-09-22,spotify:track:1k2pQc5i348DCHwbn5KTdc
9,Lose Control,Teddy Swims,True,17phhZDn6oGtzMe56NuWvj,890,2106880,I've Tried Everything But Therapy (Part 1),2023-09-15,spotify:track:17phhZDn6oGtzMe56NuWvj
10,Squabble Up,Kendrick Lamar,True,0nj9Bq5sHDiTxSHunhgkFb,900,1579920,GNX,2024-11-22,spotify:track:0nj9Bq5sHDiTxSHunhgkFb
11,Nokia,Drake,True,2u9S9JJ6hTZS3Vf22HOZKg,880,2410230,$ome $exy $ongs 4 U,2025-02-14,spotify:track:2u9S9JJ6hTZS3Vf22HOZKg
12,Beautiful Things,Benson Boone,True,3xkHsmpQCBMytMJNiDf3Ii,890,1803040,Fireworks & Rollerblades,2024-04-05,spotify:track:3xkHsmpQCBMytMJNiDf3Ii
13,That's So True,Gracie Abrams,True,7ne4VBA60CxGM75vw0EYad,950,1663000,The Secret of Us (Deluxe),2024-10-18,spotify:track:7ne4VBA60CxGM75vw0EYad
14,Love Somebody,Morgan Wallen,True,7hR22TOX3RorxJPcsz5Wbo,850,2048280,Love Somebody,2024-10-18,spotify:track:7hR22TOX3RorxJPcsz5Wbo
15,30 For 30,SZA With Kendrick Lamar,False,3aSWXU6owkZeVhh94XxEWO,890,2782760,SOS Deluxe: LANA,2024-12-20,spotify:track:3aSWXU6owkZeVhh94XxEWO
16,Sports Car,Tate McRae,False,2zOmS55knKWSgScYPTNmGQ,870,1650450,Sports car,2025-01-24,spotify:track:2zOmS55knKWSgScYPTNmGQ
17,I Had Some Help,Post Malone Featuring Morgan Wallen,False,5IZXB5IKAD2qlvTPJYDCFB,830,1782050,F-1 Trillion,2024-08-15 00:00:00,spotify:track:5IZXB5IKAD2qlvTPJYDCFB
18,Espresso,Sabrina Carpenter,True,2HRqTpkrJO5ggZyyK6NPWz,880,1754590,Short n' Sweet,2024-08-23,spotify:track:2HRqTpkrJO5ggZyyK6NPWz
19,I'm The Problem,Morgan Wallen,True,3HlWVKwU0JqJXqJK9DWHnZ,840,1778110,I'm The Problem,2025-01-31,spotify:track:3HlWVKwU0JqJXqJK9DWHnZ
20,Timeless,The Weeknd & Playboi Carti,True,0FIDCNYYjNvPVimz5icugS,860,2560000,Hurry Up Tomorrow,2025-01-31,spotify:track:0FIDCNYYjNvPVimz5icugS
21,Messy,Lola Young,True,3SKH53SPQbEnZR4cJPVaz2,900,2840680,Messy,2024-05-30,spotify:track:3SKH53SPQbEnZR4cJPVaz2
22,Revolving Door,Tate McRae,False,541sN2qNfIlllGn9nGOQoC,860,1800320,So Close To What,2025-02-21,spotify:track:541sN2qNfIlllGn9nGOQoC
23,All The Stars,Kendrick Lamar & SZA,True,3GCdLUSnKSMJhs4Tj6CV3s,940,2321860,Black Panther The Album Music From And Inspired By,2018-02-09,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
24,Taste,Sabrina Carpenter,True,5G2f63n7IPVPPjfNIGih7Q,900,1572790,Short n' Sweet,2024-08-23,spotify:track:5G2f63n7IPVPPjfNIGih7Q
25,Denial Is A River,Doechii,False,1eTaznNW4Xxtx9za2SMTXB,910,1595860,Alligator Bites Never Heal,2024-08-30,spotify:track:1eTaznNW4Xxtx9za2SMTXB
26,Too Sweet,Hozier,True,76JKIsdKrAfWUMjaA0u7v5,780,2514240,Unreal Unearth: Unaired,2024-08-19,spotify:track:76JKIsdKrAfWUMjaA0u7v5
27,"Good Luck, Babe!",Chappell Roan,False,0WbMK4wrZ1wFSty9F7FCgu,930,2184230,"Good Luck, Babe!",2024-04-05,spotify:track:0WbMK4wrZ1wFSty9F7FCgu
28,Gimme A Hug,Drake,False,5Nz7hI3cCOHmMR4vSLJ1An,830,1930540,$ome $exy $ongs 4 U,2025-02-14,spotify:track:5Nz7hI3cCOHmMR4vSLJ1An
29,Die Trying,"PARTYNEXTDOOR, Drake & Yebba",True,0NUqi0ps17YpLUC3kgsZq0,860,1954310,$ome $exy $ongs 4 U,2025-02-14,spotify:track:0NUqi0ps17YpLUC3kgsZq0
